Date,CL=F,PLN=X,diesel,super95
2019-10-07,52.75,3.931999921798706,4037.0,3989.0
2019-10-08,52.630001068115234,3.9451000690460205,4033.0,3992.0
2019-10-09,52.59000015258789,3.9428699016571045,4031.0,3977.0
2019-10-10,53.54999923706055,3.9358999729156494,4036.0,3948.0
2019-10-11,54.70000076293945,3.9128799438476562,4033.0,3906.0
2019-10-12,54.70000076293945,3.9128799438476562,4041.0,3910.0
2019-10-13,54.70000076293945,3.9128799438476562,4041.0,3910.0
2019-10-14,53.59000015258789,3.8999199867248535,4041.0,3910.0
2019-10-15,52.810001373291016,3.8946800231933594,4033.0,3887.0
2019-10-16,53.36000061035156,3.88919997215271,4024.0,3877.0
2019-10-17,53.93000030517578,3.867300033569336,4023.0,3867.0
2019-10-18,53.779998779296875,3.8502299785614014,4019.0,3855.0
2019-10-19,53.779998779296875,3.8502299785614014,4009.0,3858.0
2019-10-20,53.779998779296875,3.8502299785614014,4009.0,3858.0
2019-10-21,53.310001373291016,3.839099884033203,4009.0,3858.0
2019-10-22,54.15999984741211,3.8336000442504883,4000.0,3850.0
2019-10-23,55.970001220703125,3.837860107421875,3999.0,3842.0
2019-10-24,56.22999954223633,3.838099956512451,4001.0,3848.0
2019-10-25,56.65999984741211,3.853300094604492,4027.0,3857.0
2019-10-26,56.65999984741211,3.853300094604492,4025.0,3866.0
2019-10-27,56.65999984741211,3.853300094604492,4025.0,3866.0
2019-10-28,55.810001373291016,3.859100103378296,4025.0,3866.0
2019-10-29,55.540000915527344,3.8501999378204346,4018.0,3881.0
2019-10-30,55.060001373291016,3.8378000259399414,4016.0,3895.0
2019-10-31,54.18000030517578,3.8173201084136963,4006.0,3906.0
2019-11-01,56.20000076293945,3.820310115814209,3983.0,3882.0
2019-11-02,56.20000076293945,3.820310115814209,3983.0,3882.0
2019-11-03,56.20000076293945,3.820310115814209,3983.0,3882.0
2019-11-04,56.540000915527344,3.8078999519348145,3983.0,3882.0
2019-11-05,57.22999954223633,3.836199998855591,3996.0,3917.0
2019-11-06,56.349998474121094,3.8515000343322754,3999.0,3951.0
2019-11-07,57.150001525878906,3.8521499633789062,4000.0,3947.0
2019-11-08,57.2400016784668,3.8526999950408936,3998.0,3939.0
2019-11-09,57.2400016784668,3.8526999950408936,4003.0,3906.0
2019-11-10,57.2400016784668,3.8526999950408936,4003.0,3906.0
2019-11-11,56.86000061035156,3.8700900077819824,4003.0,3906.0
2019-11-12,56.79999923706055,3.8738999366760254,4003.0,3906.0
2019-11-13,57.119998931884766,3.888040065765381,4009.0,3893.0
2019-11-14,56.77000045776367,3.898099899291992,4009.0,3901.0
2019-11-15,57.720001220703125,3.886699914932251,4041.0,3901.0
2019-11-16,57.720001220703125,3.886699914932251,4061.0,3898.0
2019-11-17,57.720001220703125,3.886699914932251,4061.0,3898.0
2019-11-18,57.04999923706055,3.8653600215911865,4061.0,3898.0
2019-11-19,55.209999084472656,3.874799966812134,4039.0,3872.0
2019-11-20,57.11000061035156,3.8672800064086914,4027.0,3853.0
2019-11-21,58.58000183105469,3.8766000270843506,4024.0,3874.0
2019-11-22,57.77000045776367,3.8828999996185303,4023.0,3889.0
2019-11-23,57.77000045776367,3.8828999996185303,4036.0,3918.0
2019-11-24,57.77000045776367,3.8828999996185303,4036.0,3918.0
2019-11-25,58.0099983215332,3.8982999324798584,4036.0,3918.0
2019-11-26,58.40999984741211,3.903700113296509,4052.0,3922.0
2019-11-27,58.11000061035156,3.905900001525879,4075.0,3937.0
2019-11-28,58.11000061035156,3.915299892425537,4075.0,3943.0
2019-11-29,55.16999816894531,3.923099994659424,4083.0,3950.0
2019-11-30,55.16999816894531,3.923099994659424,4072.0,3939.0
2019-12-01,55.16999816894531,3.923099994659424,4072.0,3939.0
2019-12-02,55.959999084472656,3.911439895629883,4072.0,3939.0
2019-12-03,56.099998474121094,3.8692901134490967,4065.0,3918.0
2019-12-04,58.43000030517578,3.86299991607666,4049.0,3877.0
2019-12-05,58.43000030517578,3.8589799404144287,4050.0,3860.0
2019-12-06,59.20000076293945,3.8493099212646484,4057.0,3872.0
2019-12-07,59.20000076293945,3.8493099212646484,4066.0,3875.0
2019-12-08,59.20000076293945,3.8493099212646484,4066.0,3875.0
2019-12-09,59.02000045776367,3.8673698902130127,4066.0,3875.0
2019-12-10,59.2400016784668,3.8745501041412354,4079.0,3888.0
2019-12-11,58.7599983215332,3.8669300079345703,4095.0,3898.0
2019-12-12,59.18000030517578,3.8469998836517334,4077.0,3890.0
2019-12-13,60.06999969482422,3.83240008354187,4063.0,3876.0
2019-12-14,60.06999969482422,3.83240008354187,4069.0,3881.0
2019-12-15,60.06999969482422,3.83240008354187,4069.0,3881.0
2019-12-16,60.209999084472656,3.839740037918091,4069.0,3881.0
2019-12-17,60.939998626708984,3.8209800720214844,4085.0,3890.0
2019-12-18,60.93000030517578,3.821199893951416,4104.0,3894.0
2019-12-19,61.220001220703125,3.836400032043457,4132.0,3900.0
2019-12-20,60.439998626708984,3.832200050354004,4153.0,3912.0
2019-12-21,60.439998626708984,3.832200050354004,4159.0,3921.0
2019-12-22,60.439998626708984,3.832200050354004,4159.0,3921.0
2019-12-23,60.52000045776367,3.8411200046539307,4159.0,3921.0
2019-12-24,61.11000061035156,3.852799892425537,4176.0,3926.0
2019-12-25,61.11000061035156,3.8578999042510986,4176.0,3926.0
2019-12-26,61.68000030517578,3.8387999534606934,4176.0,3926.0
2019-12-27,61.720001220703125,3.8371999263763428,4176.0,3926.0
2019-12-28,61.720001220703125,3.8371999263763428,4217.0,3951.0
2019-12-29,61.720001220703125,3.8371999263763428,4217.0,3951.0
2019-12-30,61.68000030517578,3.809689998626709,4217.0,3951.0
2019-12-31,61.060001373291016,3.7973999977111816,4204.0,3936.0
2020-01-01,61.060001373291016,3.805500030517578,4183.0,3923.0
2020-01-02,61.18000030517578,3.7929999828338623,4183.0,3923.0
2020-01-03,63.04999923706055,3.7939999103546143,4179.0,3924.0
